Species Common Name,TaxonClass,Habitat,SkinORFur/Scales/Feathers,BirthType,NumberOfLegs
Green Aracari,Aves,Air,Feathers,Egg,2
Great Argus,Aves,Air,Feathers,Egg,2
Red Barbet,Aves,Air,Feathers,Egg,2
Raggiana BirdOfParadise,Aves,Air,Feathers,Egg,2
Fairy Bludebird,Aves,Air,Feathers,Egg,2
BuffCrested ,Aves,Air,Feathers,Egg,2
Buttonquail,Aves,Air,Feathers,Egg,2
Cardinal,Aves,Air,Feathers,Egg,2
Cassowary,Aves,Air,Feathers,Egg,2
Snowy-Headed Robin,Aves,Air,Feathers,Egg,2
California Condor,Aves,Air,Feathers,Egg,2
Conure,Aves,Air,Feathers,Egg,2
Crake,Aves,Air,Feathers,Egg,2
Crane,Aves,Air,Feathers,Egg,2
Curassow,Aves,Air,Feathers,Egg,2
Dikkop,Aves,Air,Feathers,Egg,2
Dove,Aves,Air,Feathers,Egg,2
Eagle,Aves,Air,Feathers,Egg,2
Falcon,Aves,Air,Feathers,Egg,2
Flamingo,Aves,Air,Feathers,Egg,2
Tawny Frogmouth,Aves,Air,Feathers,Egg,2
Goose,Aves,Air,Feathers,Egg,2
"Guineafowl,",Aves,Air,Feathers,Egg,2
Hamerkop,Aves,Air,Feathers,Egg,2
Heron,Aves,Air,Feathers,Egg,2
Hornbill,Aves,Air,Feathers,Egg,2
Sacred Ibis,Aves,Air,Feathers,Egg,2
Plush Crested Jay,Aves,Air,Feathers,Egg,2
Kea,Aves,Air,Feathers,Egg,2
Kingfisher,Aves,Air,Feathers,Egg,2
North Island Brown Kiwi,Aves,Air,Feathers,Egg,2
Kookaburra,Aves,Air,Feathers,Egg,2
Lapwing,Aves,Air,Feathers,Egg,2
Laughingthrush,Aves,Air,Feathers,Egg,2
Leiothrix,Aves,Air,Feathers,Egg,2
Macaw,Aves,Air,Feathers,Egg,2
Magpie,Aves,Air,Feathers,Egg,2
Motmot,Aves,Air,Feathers,Egg,2
Mynah,Aves,Air,Feathers,Egg,2
Ostrich,Aves,Air,Feathers,Egg,2
Owl,Aves,Air,Feathers,Egg,2
Parrot,Aves,Air,Feathers,Egg,2
Peafowl,Aves,Air,Feathers,Egg,2
Pelican,Aves,Air,Feathers,Egg,2
Pheasant,Aves,Air,Feathers,Egg,2
Pigeon,Aves,Air,Feathers,Egg,2
Puffin,Aves,Air,Feathers,Egg,2
Guam Rail,Aves,Air,Feathers,Egg,2
Greater Rhea,Aves,Air,Feathers,Egg,2
Addax,Mammalia,Land,SkinORFur,Live,4
Agouti,Mammalia,Land,SkinORFur,Live,4
Anoa,Mammalia,Land,SkinORFur,Live,4
Giant Anteater,Mammalia,Land,SkinORFur,Live,4
Antelope,Mammalia,Land,SkinORFur,Live,4
Baboon,Mammalia,Land,SkinORFur,Live,4
Barasingha,Mammalia,Land,SkinORFur,Live,4
Bear,Mammalia,Land,SkinORFur,Live,4
Bettong,Mammalia,Land,SkinORFur,Live,4
Binturong,Mammalia,Land,SkinORFur,Live,4
Bobcat,Mammalia,Land,SkinORFur,Live,4
Eastern Bongo,Mammalia,Land,SkinORFur,Live,4
